I, [2022-01-18T08:26:41.031269 #3408]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.1.0)
E, [2022-01-18T08:26:41.032909 #3408] ERROR -- Kitchen: ------Exception-------
E, [2022-01-18T08:26:41.032996 #3408] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-01-18T08:26:41.033045 #3408] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/butler/repos/snohio/vagrant/ubuntu/kitchen.yml does not exist.
E, [2022-01-18T08:26:41.033091 #3408] ERROR -- Kitchen: ----------------------
E, [2022-01-18T08:26:41.033131 #3408] ERROR -- Kitchen: ------Backtrace-------
E, [2022-01-18T08:26:41.033170 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-01-18T08:26:41.033298 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/config.rb:153:in `data'
E, [2022-01-18T08:26:41.033332 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/config.rb:131:in `suites'
E, [2022-01-18T08:26:41.033361 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-01-18T08:26:41.033389 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-01-18T08:26:41.033420 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/config.rb:116:in `instances'
E, [2022-01-18T08:26:41.033449 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-01-18T08:26:41.033479 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-01-18T08:26:41.033508 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-01-18T08:26:41.033537 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2022-01-18T08:26:41.033565 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/command/action.rb:33:in `call'
E, [2022-01-18T08:26:41.033593 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/cli.rb:52:in `perform'
E, [2022-01-18T08:26:41.033621 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-01-18T08:26:41.033649 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.1.0/lib/thor/command.rb:27:in `run'
E, [2022-01-18T08:26:41.033693 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.1.0/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-01-18T08:26:41.033739 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.1.0/lib/thor.rb:392:in `dispatch'
E, [2022-01-18T08:26:41.033774 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.1.0/lib/thor/base.rb:485:in `start'
E, [2022-01-18T08:26:41.033806 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/bin/kitchen:11:in `block in <top (required)>'
E, [2022-01-18T08:26:41.033853 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/lib/kitchen/errors.rb:170:in `with_friendly_errors'
E, [2022-01-18T08:26:41.033898 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.1.0/bin/kitchen:11:in `<top (required)>'
E, [2022-01-18T08:26:41.033931 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:393:in `load'
E, [2022-01-18T08:26:41.033995 #3408] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:393:in `<main>'
E, [2022-01-18T08:26:41.034032 #3408] ERROR -- Kitchen: ----End Backtrace-----
